City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,altea,38.5989,-0.0514,15.94,66,8,4.79,ES,1673118646
131,camalu,30.85,-116.0667,17.56,45,5,0.54,MX,1673118647
132,cururupu,-1.8283,-44.8683,28.34,66,100,2.4,BR,1673118524
133,murgab,37.4966,61.9714,9.91,51,0,2.15,TM,1673118647
134,pullman,46.7313,-117.1796,6.5,76,20,6.69,US,1673118631
135,puerto ayora,-0.7393,-90.3518,27.98,91,6,3.13,EC,1673118723
136,pemagatsel,27.0319,91.4266,6.17,47,0,2.9,BT,1673118724
137,cherskiy,68.75,161.3,-33.06,97,100,1.89,RU,1673118724
138,estelle,29.8458,-90.1067,25.0,53,20,4.63,US,1673118725
139,krasnoselkup,65.7,82.4667,-41.64,97,16,2.69,RU,1673118726
140,saint-joseph,-21.3667,55.6167,25.21,79,33,4.79,RE,1673118727
141,nishihara,26.1842,127.7558,14.6,63,20,3.6,JP,1673118729
142,narsaq,60.9167,-46.05,-10.27,74,99,3.67,GL,1673118730
143,vila do maio,15.1333,-23.2167,23.44,73,100,6.89,CV,1673118730
144,chaman,30.9236,66.4512,10.09,57,71,1.76,PK,1673118731
145,neiafu,-18.65,-173.9833,25.38,94,20,0.0,TO,1673118732
146,severo-yeniseyskiy,60.3725,93.0408,-25.35,99,100,1.4,RU,1673118732
147,puerto madryn,-42.7692,-65.0385,26.35,44,19,6.23,AR,1673118561
148,kushima,31.4583,131.2333,4.9,77,0,3.34,JP,1673118734
149,klaksvik,62.2266,-6.589,2.51,81,96,4.47,FO,1673118735
150,cap-chat,49.1001,-66.6821,-1.68,94,100,5.38,CA,1673118735
151,port-gentil,-0.7193,8.7815,25.98,89,40,2.06,GA,1673118736
152,bandiagara,14.3501,-3.6104,25.8,18,5,4.16,ML,1673118737
153,byron bay,-28.65,153.6167,18.86,89,91,5.48,AU,1673118737
154,arraial do cabo,-22.9661,-42.0278,19.92,94,100,7.72,BR,1673118738
155,sao filipe,14.8961,-24.4956,23.14,65,27,5.43,CV,1673118738
156,diego de almagro,-26.3667,-70.05,29.43,16,0,7.61,CL,1673118739
157,babu,24.4167,111.5167,12.8,43,5,0.7,CN,1673118740
158,lompoc,34.6391,-120.4579,16.4,73,0,4.47,US,1673118740
159,fortuna,40.5982,-124.1573,12.97,86,100,11.83,US,1673118741
160,port hardy,50.6996,-127.4199,7.26,90,100,6.3,CA,1673118740
161,lilongwe,-13.9669,33.7873,19.5,92,100,0.46,MW,1673118742
162,tabuk,17.4189,121.4443,19.88,91,99,0.3,PH,1673118742
163,trzcianka,53.0406,16.4563,5.44,95,99,2.87,PL,1673118743
164,portales,34.1862,-103.3344,12.96,28,67,1.91,US,1673118743
165,saint george,37.1041,-113.5841,9.68,66,0,2.57,US,1673118570
166,ivanava,52.1451,25.5365,-3.04,77,82,4.46,BY,1673118744
167,port-cartier,50.0334,-66.8654,-4.03,88,100,1.4,CA,1673118744
168,kyra,49.5776,111.9753,-18.22,88,2,2.42,RU,1673118745
169,morro bay,35.3658,-120.8499,16.25,80,100,1.34,US,1673118746
170,mandalgovi,45.7625,106.2708,-9.77,67,94,2.4,MN,1673118489
171,ossora,59.2353,163.0719,-24.88,86,69,2.46,RU,1673118747
172,farafangana,-22.8167,47.8333,24.43,90,11,4.15,MG,1673118748
173,hilo,19.7297,-155.09,25.14,70,40,3.6,US,1673118749
174,ixtapa,20.7,-105.2,24.57,65,0,3.6,MX,1673118498
175,luanda,-8.8368,13.2343,25.61,83,100,3.77,AO,1673118685
176,new norfolk,-42.7826,147.0587,12.18,72,0,1.18,AU,1673118750
177,avera,33.194,-82.5271,17.99,37,7,2.95,US,1673118750
178,mogocha,53.7333,119.7667,-25.38,99,100,0.77,RU,1673118751
179,laguna,38.421,-121.4238,14.47,70,75,7.72,US,1673118662
180,dikson,73.5069,80.5464,-17.4,90,100,6.4,RU,1673118752
181,filingue,14.3521,3.3168,25.51,15,6,4.2,NE,1673118752
182,airai,-8.9266,125.4092,15.4,89,100,0.81,TL,1673118753
183,puerto penasco,31.3167,-113.5333,16.97,47,0,3.99,MX,1673118753
184,luau,-10.7073,22.2247,18.48,96,100,1.71,AO,1673118753
185,pontianak,-0.0333,109.3333,23.99,100,100,1.03,ID,1673118754
186,plaster rock,46.9065,-67.39,-0.71,93,100,3.02,CA,1673118755
187,nayagarh,20.1333,85.1,12.41,28,0,0.83,IN,1673118755
188,svetlaya,46.5389,138.3297,-11.81,71,21,2.28,RU,1673118756
189,komsomolskoye,55.2567,47.5461,-29.44,98,13,3.03,RU,1673118756
190,yumen,40.2833,97.2,-4.54,35,100,4.15,CN,1673118757
191,saint-augustin,51.226,-58.6502,-6.96,71,100,0.93,CA,1673118757
192,tasiilaq,65.6145,-37.6368,-8.91,63,88,3.56,GL,1673118758
193,swan hill,-35.3378,143.5544,20.79,38,0,2.25,AU,1673118758
194,saskylakh,71.9167,114.0833,-37.04,98,99,1.55,RU,1673118759
195,lagoa,39.05,-27.9833,16.09,89,100,11.48,PT,1673118759
196,ilulissat,69.2167,-51.1,-8.99,73,75,0.0,GL,1673118759
197,mindelo,16.8901,-24.9804,23.75,57,20,11.32,CV,1673118760
198,khuzdar,27.7384,66.6434,12.88,29,100,1.3,PK,1673118760
199,bandarbeyla,9.4942,50.8122,24.97,75,2,7.37,SO,1673118761
200,qaanaaq,77.484,-69.3632,-24.6,95,100,2.04,GL,1673118761
201,hammerfest,70.6634,23.6821,-10.75,67,23,6.17,NO,1673118762
202,mayo,38.8876,-76.5119,10.1,45,75,4.63,US,1673118762
203,rivera,-30.9053,-55.5508,35.38,16,0,4.46,UY,1673118763
204,shingu,33.7333,135.9833,7.52,73,44,3.91,JP,1673118763
205,bonthe,7.5264,-12.505,26.23,71,2,5.14,SL,1673118764
206,beisfjord,68.3751,17.5988,-4.97,84,100,4.87,NO,1673118764
207,burnie,-41.0667,145.9167,14.32,90,95,4.16,AU,1673118765
208,russell,32.3502,-85.1999,19.67,27,0,1.54,US,1673118765
209,harper,4.375,-7.7169,26.71,79,68,3.26,LR,1673118766
210,san vicente,-26.6167,-54.1333,30.63,20,0,2.51,AR,1673118767
211,hami,42.8,93.45,-4.38,47,9,1.13,CN,1673118767
212,caninde,-4.3589,-39.3117,36.42,21,0,4.08,BR,1673118768
213,svencionys,55.15,26.1667,-9.97,93,100,4.79,LT,1673118768
214,caborca,30.5838,-111.101,19.67,23,0,2.22,MX,1673118768
215,belmonte,-15.8631,-38.8828,27.69,71,100,4.67,BR,1673118769
216,celestun,20.8667,-90.4,27.47,59,0,4.35,MX,1673118769
217,smithers,54.7804,-127.1743,-1.38,96,99,0.84,CA,1673118770
218,gat,31.61,34.7642,14.38,100,3,1.22,IL,1673118770
219,ambilobe,-13.2,49.05,23.12,90,99,1.75,MG,1673118771
220,umm kaddadah,13.6017,26.6876,16.4,29,10,5.24,SD,1673118771
221,norman wells,65.282,-126.8329,-26.02,99,100,0.2,CA,1673118772
222,portobelo,9.55,-79.65,31.09,74,21,3.55,PA,1673118772
223,cedar city,37.6775,-113.0619,2.54,65,0,2.06,US,1673118773
224,ardakan,32.31,54.0175,8.77,47,0,2.86,IR,1673118773
225,college,64.8569,-147.8028,-14.03,78,100,1.54,US,1673118480
226,saldanha,-33.0117,17.9442,17.63,89,0,7.39,ZA,1673118774
227,san quintin,30.4833,-115.95,17.63,52,3,1.23,MX,1673118774
228,linjiang,41.8069,126.9078,-12.3,97,100,0.53,CN,1673118775
229,necochea,-38.5473,-58.7368,31.99,30,96,6.27,AR,1673118775
230,iskateley,67.6803,53.1512,-36.77,100,30,1.85,RU,1673118776
231,kaeo,-35.1,173.7833,18.8,88,8,1.27,NZ,1673118776
232,clyde river,70.4692,-68.5914,-32.75,95,21,0.75,CA,1673118777
233,tuktoyaktuk,69.4541,-133.0374,-24.31,96,100,3.38,CA,1673118777
234,north bend,43.4065,-124.2243,11.03,88,0,3.09,US,1673118778
235,bozoum,6.3193,16.3799,25.1,25,100,1.92,CF,1673118778
236,pierre,44.3683,-100.351,-6.64,81,0,2.68,US,1673118654
237,pointe michel,15.25,-61.3833,25.36,79,100,6.83,DM,1673118779
238,vestmannaeyjar,63.4427,-20.2734,0.27,73,97,2.89,IS,1673118779
239,lasa,46.6166,10.7002,2.17,80,28,0.85,IT,1673118780
240,inhambane,-23.865,35.3833,23.16,91,100,8.28,MZ,1673118780
241,noumea,-22.2763,166.4572,27.22,99,100,1.32,NC,1673118781
242,solnechnyy,50.7214,136.6319,-23.24,94,94,2.07,RU,1673118781
243,tabas,33.5959,56.9244,9.92,48,0,1.36,IR,1673118782
244,amapa,1.0,-52.0,25.69,81,100,1.83,BR,1673118783
245,mitsamiouli,-11.3847,43.2844,27.24,79,17,4.22,KM,1673118784
246,along,28.1667,94.7667,9.52,58,0,0.84,IN,1673118787
247,rocky mountain house,52.3668,-114.9188,-1.03,82,100,1.16,CA,1673118788
248,nelson bay,-32.7167,152.15,18.89,85,61,3.58,AU,1673118789
249,talnakh,69.4865,88.3972,-40.45,99,100,2.8,RU,1673118789
250,havoysund,70.9963,24.6622,-8.87,89,36,7.48,NO,1673118790
251,port macquarie,-31.4333,152.9167,17.72,87,98,4.57,AU,1673118791
252,capreol,46.706,-80.9225,-9.69,79,96,2.62,CA,1673118791
253,kahului,20.8947,-156.47,24.01,64,0,1.54,US,1673118772
254,khuzhir,53.1939,107.3397,-13.41,82,37,3.21,RU,1673118792
255,caravelas,-17.7125,-39.2481,27.52,75,91,4.11,BR,1673118793
256,mount gambier,-37.8333,140.7667,19.33,44,0,3.82,AU,1673118794
257,honningsvag,70.9821,25.9704,-9.14,79,100,8.23,NO,1673118794
